GTID,Date,Country,City,Perpetrator_group,fatalities,injured,target_type,attack_type,weapon_type
2.02012E+11,29/12/2020,Nigeria,Kayamla,Boko Haram,9,7,Terrorists/Non-state Militia,Sub-Saharan Africa,Bombing/Explosion
2.02012E+11,29/12/2020,Nigeria,Kayamla,Boko Haram,0,0,Terrorists/Non-state Militia,Sub-Saharan Africa,"Bombing/Explosion,Armed Assault"
2.02012E+11,29/12/2020,Nigeria,Tungushe,Boko Haram,3,2,"Private Citizens & Property,Military",Sub-Saharan Africa,Armed Assault
2.02012E+11,28/12/2020,Nigeria,Logomani,Boko Haram,3,0,Military,Sub-Saharan Africa,Bombing/Explosion
2.02012E+11,27/12/2020,Nigeria,Nagu,Unknown,3,Unknown,"Government (General),Private Citizens & Property",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02012E+11,28/12/2020,Nigeria,Olukitibi,Fulani extremists,1,0,Private Citizens & Property,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02012E+11,26/12/2020,Cameroon,Unknown,"Return, Reclamation, Rehabilitation (3R)",Unknown,Unknown,"Police,Private Citizens & Property",Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02012E+11,26/12/2020,Nigeria,Azare,Boko Haram,2,1,"Police,Private Citizens & Property",Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02012E+11,26/12/2020,Nigeria,Khiributu Debiro,Boko Haram,3,1,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02012E+11,26/12/2020,Nigeria,Tashon Alade,Boko Haram,2,2,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02012E+11,26/12/2020,Nigeria,Shaffa,Boko Haram,3,2,Private Citizens & Property,Sub-Saharan Africa,"Armed Assault,Facility/Infrastructure Attack"
2.02012E+11,25/12/2020,Cameroon,Kumbo,Separatists,2,Unknown,Business,Sub-Saharan Africa,Armed Assault
2.02012E+11,25/12/2020,Nigeria,Fadan Kagoma,Fulani extremists,0,0,Religious Figures/Institutions,Sub-Saharan Africa,Hostage Taking (Kidnapping)
2.02012E+11,24/12/2020,Nigeria,Katsina Ala,Unknown,5,Unknown,"Government (General),Police",Sub-Saharan Africa,Assassination
